"Year","WATERBODY","EMB","REGION","AREA","SITE","SAM","SNAT","SNIN","SCEN","SPIS","PGEN","PPIS","PSPE","NNAT","BNAT","PNNI","PBNI","IBI","SNATS","SNINS","SCENS","SPISS","PPISS","PGENS","PSPES","NNATS","BNATS","PNNIS","PBNIS","EMBTYPE","PRJ_CD"
2006,"Hamilton Harbour","Hamilton Harbour","Hamilton Harbour","Hamilton Harbour","28","1",6,2,0,1,98.3744054409669,0,1.62559455903314,1787,685.172562472215,1.32523467697405,1.49540468027917,43.5722305598542,4.98,0,0,2.5,0,0.243839183854965,0.487678367709942,10,10,9.8674765323026,9.85045953197208,"Sheltered",NA
2006,"Hamilton Harbour","Hamilton Harbour","Hamilton Harbour","Hamilton Harbour","23","2",10,3,5,2,81.123585175174,11.3800037006149,7.49641112421115,158,79.7791066218679,17.2774869109948,27.1716586771516,51.7198187655514,8.3,0,10,5,3.41400111018447,2.8314622237239,2.24892333726334,3.16,6.38232852974943,8.27225130890052,7.28283413228484,"Sheltered",NA
2006,"Hamilton Harbour","Hamilton Harbour","Hamilton Harbour","Hamilton Harbour","18","3",10,4,4,2,65.2656841752214,8.81394613891041,25.9203696858682,191,70.1236390840988,45.1149425287356,32.9996785723213,53.2262464888842,8.3,0,8,5,2.64418384167312,5.21014737371679,7.77611090576046,3.82,5.6098911267279,5.48850574712644,6.70003214276787,"Sheltered",NA
2006,"Hamilton Harbour","Hamilton Harbour","Hamilton Harbour","Hamilton Harbour","24","4",12,3,4,3,80.6041638049608,10.6076696535718,8.78816654146739,429,185.899393521627,8.9171974522293,9.14626315956794,64.5470729332617,10,0,8,7.5,3.18230089607154,2.90937542925588,2.63644996244022,8.58,10,9.10828025477707,9.08537368404321,"Sheltered",NA
2006,"Hamilton Harbour","Hamilton Harbour","Hamilton Harbour","Hamilton Harbour","27","5",8,2,3,1,91.4076923606981,1.80698906912187,6.78531857018002,293,145.556415903881,14.5772594752187,5.95299333066105,48.0122846882708,6.64,0,6,2.5,0.542096720736561,1.28884614589528,2.03559557105401,5.86,10,8.54227405247813,9.4047006669339,"Sheltered",NA
2006,"Hamilton Harbour","Hamilton Harbour","Hamilton Harbour","Hamilton Harbour","6","6",5,2,0,1,97.7402558085458,1.6057031634367,0.654041028017528,266,541.043713062683,3.6231884057971,0.634440541958686,38.6919290830717,4.15,0,0,2.5,0.48171094903101,0.33896162871813,0.196212308405258,5.32,10,9.63768115942029,9.93655594580413,"Sheltered",NA
2006,"Hamilton Harbour","Hamilton Harbour","Hamilton Harbour","Hamilton Harbour","11","7",8,2,2,2,98.3349643728506,0.19645736267408,1.4685782644753,779,387.207949717875,2.0125786163522,1.15084359163453,50.9753852831078,6.64,0,4,5,0.058937208802224,0.24975534407241,0.44057347934259,10,10,9.79874213836478,9.88491564083655,"Sheltered",NA
2006,"Hamilton Harbour","Hamilton Harbour","Hamilton Harbour","Hamilton Harbour","14","8",8,2,0,2,79.3657263732423,8.92068733714956,11.7135862896081,42,45.4646814651248,48.1481481481481,24.2369278225032,34.6946273201689,6.64,0,0,5,2.67620620114487,3.09514104401365,3.51407588688243,0.84,3.63717451720998,5.18518518518519,7.57630721774968,"Sheltered",NA
2006,"Hamilton Harbour","Hamilton Harbour","Hamilton Harbour","Hamilton Harbour","34","9",6,2,1,1,93.9888023819987,2.76071159021068,3.25048602779065,89,102.503490679556,19.8198198198198,3.83684231686791,36.1815017898148,4.98,0,2,2.5,0.828213477063204,0.901679642700195,0.975145808337195,1.78,8.20027925436448,8.01801801801802,9.61631576831321,"Sheltered",NA
2006,"Hamilton Harbour","Hamilton Harbour","Hamilton Harbour","Hamilton Harbour","17","10",8,2,2,2,91.2469106912429,1.60816759905734,7.14492170969976,2471,666.945544100166,16.0665760869565,6.96565464128451,52.0687882873787,6.64,0,4,5,0.482450279717202,1.31296339631356,2.14347651290993,10,10,8.39334239130435,9.30343453587155,"Sheltered",NA
2006,"Hamilton Harbour","Hamilton Harbour","Hamilton Harbour","Hamilton Harbour","13","11",5,2,1,0,97.440400790141,0,2.55959920985904,994,478.193121477301,4.51488952929875,2.8198155416448,42.3348628521293,4.15,0,2,0,0,0.38393988147885,0.767879762957712,10,10,9.54851104707012,9.71801844583552,"Sheltered",NA
2006,"Hamilton Harbour","Hamilton Harbour","Hamilton Harbour","Hamilton Harbour","1","12",5,3,2,3,73.9619909354452,18.7555401616382,7.28246890291654,12,24.9601954560306,45.4545454545455,24.1220748872972,38.7693251648617,4.15,0,4,7.5,5.62666204849146,3.90570135968322,2.18474067087496,0.24,1.99681563648245,5.45454545454545,7.58779251127028,"Sheltered",NA
2006,"Hamilton Harbour","Hamilton Harbour","Hamilton Harbour","Hamilton Harbour","16","13",5,3,0,1,89.8400494412962,4.6639856789428,5.49596487976106,141,74.602772902763,8.44155844155844,8.88097751860174,34.7981327160198,4.15,0,0,2.5,1.39919570368284,1.52399258380557,1.64878946392832,2.82,5.96822183222104,9.15584415584416,9.11190224813983,"Sheltered",NA
2006,"Hamilton Harbour","Hamilton Harbour","Hamilton Harbour","Hamilton Harbour","26","14",5,2,1,1,90.3348624897885,2.21502850495811,7.45010900525336,252,117.195731299566,4.90566037735849,4.11058143131859,42.2848601842661,4.15,0,2,2.5,0.664508551487433,1.44977062653172,2.23503270157601,5.04,9.37565850396528,9.50943396226415,9.58894185686814,"Sheltered",NA
